0:00	The night is completely silent. A wide dark river at night, no streetlights, no people, faint ripples of moving water suggested with a few flowing lines, distant bare hills as a thin horizon, total emptiness and isolation. A single small pale-blue accent shimmer on the water.
0:05	A lone 13-year-old girl Yeonmi seen from behind, standing small at the edge of a dark riverbank, facing into vast empty darkness, slight tension in her posture. Huge negative space around her to emphasize how alone and exposed she is. A single thin teal accent line for the water at her feet.
0:12	Close three-quarter view of Yeonmi's determined frightened face, jaw set, eyes wide and resolute. A single thin red line like a tightrope path stretches across the lower frame with a tiny figure balancing on it, symbolising one mistake means losing everything. The hand-lettered word YEONMI sketched neatly in a corner.
0:18	A small bird inside a cage, wings slightly open but trapped, symbolising no freedom. Behind it a faint outline map shape of the Korean peninsula with the northern half lightly hatched. One red accent on the cage bars.
0:23	Yeonmi with one hand pressed over her own mouth silencing herself, and beside her a small old TV showing a crossed-out screen, symbolising you cannot say what you think or watch what you want. A single red accent on the X.
0:27	A single empty rice bowl with chopsticks resting on a bare wooden table, nothing inside it, symbolising scarcity and not having enough food. A small pair of empty hands reaches toward it from the side. A single small red accent on the bowl rim. Lots of empty white space.
0:34	A long line of identical people standing obediently in a queue, heads bowed, uniform posture, faces blank, symbolising that hunger, fear and obedience have become normal. One red accent on a single figure who is faintly lifting their head.
0:41	Yeonmi's father being arrested, taken away by two stern guards gripping his arms, his head turned back. Young Yeonmi watches helplessly in the foreground. A single red accent on a guard's armband.
0:48	A man secretly trading goods and cash in the shadows of a small black-market stall at night, furtive and hunched, glancing over his shoulder. A single red accent on the folded money in his hand.
0:53	An empty wooden chair where the father used to sit, and a faint fading dotted outline of a man dissolving into nothing beside it, symbolising he is suddenly gone with no explanation. A single red accent on the empty chair.
1:01	Yeonmi and her mother sitting silently at a bare table with empty plates between them, heads low, heavy silence. Generous empty white space. A single muted red accent on one empty plate.
1:07	A cold empty winter street, a few hunched distant figures, one of them faint and fading away, snow suggested only by the white space, no one acknowledging it. A single teal accent for the cold.
1:13	Yeonmi's profile lost in thought, and floating near her head a small sketched open door with light spilling through, representing the dangerous idea of escape. The faint hand-lettered word ESCAPE near the door. A single red accent on the doorway.
1:19	Yeonmi and her mother facing each other in a quiet resolute moment of decision, a firm nod between them. The small hand-lettered year 2007 in a corner. A single red accent.
1:24	A simple hand-drawn map diagram: the Yalu River separating two banks labelled North Korea and China, with a bold curved arrow crossing from one side to the other. The crossing arrow is the single red accent.
1:31	An ominous prison-camp watchtower and barbed-wire fence silhouette looming in cold winter emptiness, representing the threat of labor camps if caught. A single red accent on the watchtower searchlight.
1:36	A wide view of a partially frozen river, large cracked plates of ice with dark water showing between them, bleak and dangerous, their only chance. A teal accent on the ice.
1:42	Foreground of cracked thin ice, and in the far background a small border-guard silhouette sweeping a flashlight. Tension. A single red accent on the flashlight beam.
1:48	Yeonmi frozen mid-step on the ice, exaggerated concentric sound ripples spreading from her foot to show how every step felt too loud in the overwhelming silence. A single red accent on the ripples.
1:53	Yeonmi and her mother stepping carefully onto the frozen river, holding onto each other, small shiver lines around them showing the biting cold cutting through their bodies. A teal cold accent.
2:00	A sharp jagged crack shooting across the ice directly beneath Yeonmi's feet as she freezes wide-eyed in terror, hands out for balance. The crack line is the single red accent.
